freq;unit;s_adj;na_item;geo\TIME_PERIOD,1995-Q1 ,1995-Q2 ,1995-Q3 ,1995-Q4 ,1996-Q1 ,1996-Q2 ,1996-Q3 ,1996-Q4 ,1997-Q1 ,1997-Q2 ,1997-Q3 ,1997-Q4 ,1998-Q1 ,1998-Q2 ,1998-Q3 ,1998-Q4 ,1999-Q1 ,1999-Q2 ,1999-Q3 ,1999-Q4 ,2000-Q1 ,2000-Q2 ,2000-Q3 ,2000-Q4 ,2001-Q1 ,2001-Q2 ,2001-Q3 ,2001-Q4 ,2002-Q1 ,2002-Q2 ,2002-Q3 ,2002-Q4 ,2003-Q1 ,2003-Q2 ,2003-Q3 ,2003-Q4 ,2004-Q1 ,2004-Q2 ,2004-Q3 ,2004-Q4 ,2005-Q1 ,2005-Q2 ,2005-Q3 ,2005-Q4 ,2006-Q1 ,2006-Q2 ,2006-Q3 ,2006-Q4 ,2007-Q1 ,2007-Q2 ,2007-Q3 ,2007-Q4 ,2008-Q1 ,2008-Q2 ,2008-Q3 ,2008-Q4 ,2009-Q1 ,2009-Q2 ,2009-Q3 ,2009-Q4 ,2010-Q1 ,2010-Q2 ,2010-Q3 ,2010-Q4 ,2011-Q1 ,2011-Q2 ,2011-Q3 ,2011-Q4 ,2012-Q1 ,2012-Q2 ,2012-Q3 ,2012-Q4 ,2013-Q1 ,2013-Q2 ,2013-Q3 ,2013-Q4 ,2014-Q1 ,2014-Q2 ,2014-Q3 ,2014-Q4 ,2015-Q1 ,2015-Q2 ,2015-Q3 ,2015-Q4 ,2016-Q1 ,2016-Q2 ,2016-Q3 ,2016-Q4 ,2017-Q1 ,2017-Q2 ,2017-Q3 ,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 ,2020-Q4
Q;CP_MEUR;NSA;P313_S14;IT,47997.7 ,46965.5 ,48648.2 ,50592.9 ,52444.7 ,56384.9 ,55245.6 ,57787.7 ,56851.5 ,58495.1 ,57762.1 ,59653.7 ,58208.3 ,60033.8 ,59456.5 ,61870.0 ,60521.0 ,62615.8 ,61977.8 ,64494.3 ,63051.8 ,65772.0 ,64654.0 ,67424.2 ,64991.0 ,67119.0 ,65733.0 ,67329.7 ,65700.9 ,67791.5 ,66676.7 ,68856.5 ,68458.3 ,70710.6 ,69014.9 ,71138.4 ,70357.1 ,72225.8 ,70753.5 ,73679.4 ,72031.7 ,74775.9 ,74235.3 ,76401.9 ,75230.3 ,77564.6 ,76575.0 ,78135.6 ,76444.5 ,78212.3 ,76706.3 ,79478.3 ,79150.9 ,81216.0 ,79747.1 ,79555.1 ,76089.6 ,77593.8 ,75926.2 ,77929.3 ,76092.1 ,79072.2 ,77718.6 ,80030.3 ,78873.5 ,82218.5 ,80870.9 ,82442.0 ,81234.4 ,83434.4 ,81759.7 ,82600.5 ,80490.8 ,81504.1 ,80332.3 ,80894.7 ,78269.2 ,79391.6 ,78375.5 ,79390.7 ,77343.1 ,80067.4 ,78945.7 ,79844.9 ,77598.2 ,78707.9 ,77825.6 ,79665.9 ,80250.4 ,80968.2 ,79224.7 ,81724.3 ,81332.7 ,82780.5 ,81636.1 ,83586.8 ,81940.8 ,83640.0 ,82279.5 ,83751.0 ,81699.2 ,77584.8 ,80235.6 ,80542.5 
Q;CP_MEUR;NSA;P314_S14;IT,55570.2 ,55636.9 ,64776.9 ,57759.8 ,61115.2 ,67151.8 ,73844.5 ,66572.1 ,67575.3 ,70641.8 ,77729.9 ,69441.2 ,69859.4 ,74159.3 ,81328.7 ,73211.8 ,73463.5 ,78134.4 ,85935.1 ,77426.2 ,79394.0 ,84712.7 ,92592.4 ,83223.6 ,83576.3 ,89192.7 ,97073.9 ,86609.4 ,86578.0 ,92685.1 ,101148.6 ,90604.9 ,90113.6 ,97296.1 ,105233.3 ,94617.1 ,95151.3 ,101840.6 ,110079.5 ,98833.3 ,99015.5 ,104554.3 ,113863.3 ,102685.2 ,103316.3 ,110635.5 ,119947.9 ,108398.0 ,108433.5 ,117085.8 ,126950.1 ,114610.0 ,114094.5 ,120369.0 ,130354.8 ,117111.4 ,114254.4 ,119467.6 ,128934.0 ,116130.5 ,116036.8 ,122119.7 ,133638.2 ,120614.2 ,120858.9 ,127861.7 ,138892.3 ,123678.3 ,121858.6 ,127924.6 ,137505.8 ,123647.0 ,122219.7 ,127397.3 ,138138.5 ,124893.7 ,124587.3 ,130095.7 ,139763.8 ,127565.1 ,126833.6 ,132668.3 ,143372.1 ,130723.6 ,129625.3 ,134075.7 ,147112.1 ,133395.7 ,130774.6 ,138323.8 ,150824.9 ,135788.6 ,132508.1 ,139757.4 ,153868.3 ,138001.2 ,135040.7 ,142440.9 ,155380.3 ,140004.1 ,123232.0 ,106790.9 ,134443.2 ,115685.6 
