freq;unit;s_adj;na_item;geo\TIME_PERIOD,1995-Q1 ,1995-Q2 ,1995-Q3 ,1995-Q4 ,1996-Q1 ,1996-Q2 ,1996-Q3 ,1996-Q4 ,1997-Q1 ,1997-Q2 ,1997-Q3 ,1997-Q4 ,1998-Q1 ,1998-Q2 ,1998-Q3 ,1998-Q4 ,1999-Q1 ,1999-Q2 ,1999-Q3 ,1999-Q4 ,2000-Q1 ,2000-Q2 ,2000-Q3 ,2000-Q4 ,2001-Q1 ,2001-Q2 ,2001-Q3 ,2001-Q4 ,2002-Q1 ,2002-Q2 ,2002-Q3 ,2002-Q4 ,2003-Q1 ,2003-Q2 ,2003-Q3 ,2003-Q4 ,2004-Q1 ,2004-Q2 ,2004-Q3 ,2004-Q4 ,2005-Q1 ,2005-Q2 ,2005-Q3 ,2005-Q4 ,2006-Q1 ,2006-Q2 ,2006-Q3 ,2006-Q4 ,2007-Q1 ,2007-Q2 ,2007-Q3 ,2007-Q4 ,2008-Q1 ,2008-Q2 ,2008-Q3 ,2008-Q4 ,2009-Q1 ,2009-Q2 ,2009-Q3 ,2009-Q4 ,2010-Q1 ,2010-Q2 ,2010-Q3 ,2010-Q4 ,2011-Q1 ,2011-Q2 ,2011-Q3 ,2011-Q4 ,2012-Q1 ,2012-Q2 ,2012-Q3 ,2012-Q4 ,2013-Q1 ,2013-Q2 ,2013-Q3 ,2013-Q4 ,2014-Q1 ,2014-Q2 ,2014-Q3 ,2014-Q4 ,2015-Q1 ,2015-Q2 ,2015-Q3 ,2015-Q4 ,2016-Q1 ,2016-Q2 ,2016-Q3 ,2016-Q4 ,2017-Q1 ,2017-Q2 ,2017-Q3 ,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 ,2020-Q4
Q;CP_MEUR;NSA;P311_S14;IT,12671.0 ,12244.0 ,11471.3 ,13050.3 ,14185.9 ,14382.3 ,12686.6 ,14759.8 ,15734.9 ,17452.6 ,15929.5 ,17810.8 ,18228.4 ,18231.5 ,16508.5 ,17698.0 ,18459.1 ,19010.5 ,17062.0 ,19135.0 ,20161.0 ,20044.1 ,18099.4 ,20052.6 ,21342.7 ,20467.3 ,17230.1 ,19231.1 ,20258.5 ,19652.5 ,17859.8 ,21152.6 ,21462.7 ,19616.0 ,18360.9 ,20510.9 ,21481.2 ,21337.2 ,19053.2 ,21273.6 ,21407.4 ,21468.2 ,19785.6 ,21946.1 ,22911.1 ,22481.9 ,19910.9 ,21921.0 ,23346.8 ,23015.2 ,20346.9 ,22400.0 ,22199.8 ,21695.7 ,19265.2 ,20500.8 ,19528.1 ,20616.9 ,19157.1 ,21596.2 ,21515.2 ,20127.6 ,18576.4 ,20990.5 ,20801.9 ,20526.2 ,18169.8 ,19414.1 ,18156.1 ,18344.1 ,16599.0 ,18295.6 ,17115.8 ,17120.5 ,15664.1 ,17313.5 ,17021.0 ,17204.1 ,16240.7 ,18203.0 ,18170.8 ,19107.5 ,17702.1 ,19614.3 ,20054.6 ,20340.1 ,18330.5 ,20491.7 ,21501.5 ,21409.3 ,19652.2 ,21899.7 ,22224.7 ,22151.0 ,20208.2 ,23083.2 ,22690.5 ,22432.4 ,20801.2 ,23032.4 ,19538.4 ,15772.6 ,21866.5 ,23252.7 
Q;CP_MEUR;NSA;P312_S14;IT,15387.6 ,14776.6 ,14121.3 ,16237.2 ,16884.3 ,17445.1 ,15645.5 ,18154.0 ,17543.4 ,18726.2 ,17094.0 ,19686.3 ,19446.4 ,20030.2 ,18119.8 ,20398.3 ,20121.8 ,20658.0 ,18766.2 ,21492.7 ,20455.1 ,21249.1 ,19599.5 ,22715.3 ,21811.0 ,22027.8 ,20222.6 ,22119.6 ,21952.1 ,22238.4 ,20714.6 ,22722.8 ,22100.1 ,22468.8 ,21159.8 ,23085.7 ,22326.1 ,22973.8 ,21228.3 ,22909.6 ,22284.2 ,22945.6 ,21784.6 ,23842.8 ,22955.8 ,23441.5 ,22165.1 ,24240.8 ,23770.5 ,23775.0 ,22419.1 ,24088.5 ,24022.8 ,24663.1 ,22320.2 ,23556.0 ,22096.0 ,22851.7 ,21496.8 ,23762.3 ,22816.5 ,24569.2 ,23483.5 ,25203.0 ,24456.6 ,25606.3 ,23762.5 ,24842.9 ,22786.1 ,23192.9 ,22286.4 ,23419.9 ,21403.8 ,22060.0 ,21551.5 ,22499.2 ,21585.7 ,22074.6 ,21856.6 ,22733.7 ,22232.7 ,22969.3 ,22274.6 ,23558.4 ,22735.3 ,23374.2 ,22405.3 ,23605.0 ,23492.1 ,23697.0 ,22960.9 ,24003.0 ,24368.9 ,24035.0 ,23641.5 ,24561.0 ,24325.1 ,23105.3 ,22888.1 ,23507.2 ,20297.7 ,16696.1 ,20092.4 ,20762.6 
